"TIME","GEO","CURRENCY","Value"
"2002S1","Estonia","Euro","118.24"
"2002S1","Ireland","Euro","1,008.93"
"2002S1","Greece","Euro","571.71"
"2002S1","Spain","Euro","515.90"
"2002S1","France","Euro","1,127.23"
"2002S1","Croatia","Euro",":"
"2002S1","Italy","Euro",":"
"2002S1","Cyprus","Euro",":"
"2002S1","Latvia","Euro","107.86"
"2002S1","Lithuania","Euro","122.06"
"2002S1","Luxembourg","Euro","1,290.21"
"2002S1","Hungary","Euro","203.93"
"2002S1","Malta","Euro","557.45"
"2002S1","Netherlands","Euro","1,206.60"
"2002S1","Austria","Euro",":"
"2002S1","Poland","Euro","217.43"
"2002S1","Portugal","Euro","406.01"
"2002S1","Romania","Euro","50.33"
"2002S1","Slovenia","Euro","432.63"
"2002S1","Slovakia","Euro","115.01"
"2002S1","Finland","Euro",":"
"2002S1","Sweden","Euro",":"
"2002S1","Iceland","Euro",":"
"2002S1","Norway","Euro",":"
"2002S1","Switzerland","Euro",":"
"2002S1","United Kingdom","Euro","1,109.29"
"2002S1","Montenegro","Euro",":"
"2002S1","North Macedonia","Euro",":"
"2002S1","Albania","Euro","62.78"
"2002S1","Serbia","Euro",":"
"2002S1","Turkey","Euro","174.87"
"2002S1","United States","Euro","1,012.90"
"2002S2","Belgium","Euro","1,163.02"
"2002S2","Bulgaria","Euro","51.24"
"2002S2","Czechia","Euro","194.76"
"2002S2","Denmark","Euro",":"
"2002S2","Germany (until 1990 former territory of the FRG)","Euro",":"
"2002S2","Estonia","Euro","118.24"
"2002S2","Ireland","Euro","1,008.93"
"2002S2","Greece","Euro","582.00"
"2002S2","Spain","Euro","515.90"
"2002S2","France","Euro","1,154.27"
"2002S2","Croatia","Euro",":"
"2002S2","Italy","Euro",":"
"2002S2","Cyprus","Euro",":"
"2002S2","Latvia","Euro","100.18"
"2002S2","Lithuania","Euro","124.55"
"2002S2","Luxembourg","Euro","1,322.47"
"2002S2","Hungary","Euro","204.14"
"2002S2","Malta","Euro","532.39"
"2002S2","Netherlands","Euro","1,231.80"
"2002S2","Austria","Euro",":"
"2002S2","Poland","Euro","187.20"
"2002S2","Portugal","Euro","406.01"
"2002S2","Romania","Euro","52.38"
"2002S2","Slovenia","Euro","417.87"
"2002S2","Slovakia","Euro","112.02"
"2002S2","Finland","Euro",":"
"2002S2","Sweden","Euro",":"
"2002S2","Iceland","Euro",":"
"2002S2","Norway","Euro",":"
"2002S2","Switzerland","Euro",":"
"2002S2","United Kingdom","Euro","1,038.78"
"2002S2","Montenegro","Euro",":"
"2002S2","North Macedonia","Euro",":"
"2002S2","Albania","Euro","67.75"
"2002S2","Serbia","Euro","92.72"
"2002S2","Turkey","Euro","158.99"
"2002S2","United States","Euro","894.91"
"2003S1","Belgium","Euro","1,163.02"
"2003S1","Bulgaria","Euro","56.28"
"2003S1","Czechia","Euro","196.35"
"2003S1","Denmark","Euro",":"
"2003S1","Germany (until 1990 former territory of the FRG)","Euro",":"
"2003S1","Estonia","Euro","138.05"
"2003S1","Ireland","Euro","1,073.15"
"2003S1","Greece","Euro","606.52"
"2003S1","Spain","Euro","526.40"
"2003S1","France","Euro","1,154.27"
"2003S1","Croatia","Euro",":"
"2003S1","Italy","Euro",":"
"2003S1","Cyprus","Euro",":"
"2003S1","Latvia","Euro","114.01"
"2003S1","Lithuania","Euro","124.55"
"2003S1","Luxembourg","Euro","1,368.74"
"2003S1","Hungary","Euro","211.60"
"2003S1","Malta","Euro","550.53"
"2003S1","Netherlands","Euro","1,249.20"
"2003S1","Austria","Euro",":"
"2003S1","Poland","Euro","198.96"
"2003S1","Portugal","Euro","416.03"
"2003S1","Romania","Euro","71.15"
"2003S1","Slovenia","Euro","450.31"
"2003S1","Slovakia","Euro","134.21"
"2003S1","Finland","Euro",":"
"2003S1","Sweden","Euro",":"
"2003S1","Iceland","Euro",":"
"2003S1","Norway","Euro",":"
"2003S1","Switzerland","Euro",":"
"2003S1","United Kingdom","Euro","1,063.80"
"2003S1","Montenegro","Euro",":"
"2003S1","North Macedonia","Euro",":"
"2003S1","Albania","Euro","67.06"
"2003S1","Serbia","Euro","101.46"
"2003S1","Turkey","Euro","176.06"
"2003S1","United States","Euro","851.22"
"2003S2","Belgium","Euro","1,186.31"
"2003S2","Bulgaria","Euro","56.52"
"2003S2","Czechia","Euro","196.38"
"2003S2","Denmark","Euro",":"
"2003S2","Germany (until 1990 former territory of the FRG)","Euro",":"
"2003S2","Estonia","Euro","138.05"
"2003S2","Ireland","Euro","1,073.15"
"2003S2","Greece","Euro","606.52"
"2003S2","Spain","Euro","526.40"
"2003S2","France","Euro","1,215.11"
"2003S2","Croatia","Euro",":"
"2003S2","Italy","Euro",":"
"2003S2","Cyprus","Euro",":"
"2003S2","Latvia","Euro","107.87"
"2003S2","Lithuania","Euro","124.54"
"2003S2","Luxembourg","Euro","1,368.74"
"2003S2","Hungary","Euro","187.54"
"2003S2","Malta","Euro","539.56"
"2003S2","Netherlands","Euro","1,264.80"
"2003S2","Austria","Euro",":"
"2003S2","Poland","Euro","178.67"
"2003S2","Portugal","Euro","416.03"
"2003S2","Romania","Euro","66.38"
"2003S2","Slovenia","Euro","443.01"
